,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 3 4300GE (OEM Only),4,8,6,3.5,4,0,256,2,4,,3,35,95,3200,2,,1700,
on,AMD Ryzen™ 9 4900H,8,16,8,3.3,4.4,0,0,4,8,,3,44.5,105,,,,1750,
on,AMD Ryzen™ 9 4900HS,8,16,8,3,4.3,0,0,4,8,,3,35,105,,,,1750,
on,AMD Ryzen™ 7 4800HS,8,16,7,2.9,4.2,0,0,4,8,,3,45,105,,,,1600,
on,AMD Ryzen™ 7 4800H,8,16,7,2.9,4.2,0,0,4,8,,3,45,105,,,,1600,
on,AMD Ryzen™ 5 4600H,6,12,6,3,4,0,0,3,8,,3,45,105,,,,1500,
on,AMD Ryzen™ 7 4800U,8,16,8,1.8,4.2,0,0,4,8,,3,15,105,,,,1750,
on,AMD Ryzen™ 7 4700U,8,8,7,2,4.1,0,0,4,8,,3,15,105,,,,1600,
on,AMD Ryzen™ 5 4600U,6,12,6,2.1,4,0,0,3,8,,3,15,105,,,,1500,
on,AMD Ryzen™ 5 4500U,6,6,6,2.3,4,0,0,3,8,,3,15,105,,,,1500,
on,AMD Ryzen™ 3 4300U,4,4,5,2.7,3.7,0,0,2,4,,3,15,105,,,,1400,
on,AMD Ryzen™ 3 3250U,2,4,3,2.6,3.5,0,192,1,4,,3,15,95,2400,2,,1200,
on,AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.7,4.2,0,384,2,4,,3,65,95,,2,,1400,
on,AMD Ryzen™ 7 4980U Microsoft Surface® Edition,8,16,8,2,4.4,0,512,4,8,,3,15,105,4267,2,,1950,
on,AMD Ryzen™ 5 3400GE (OEM Only),4,8,11,3.3,4,0,384,2,4,,3,35,95,2933,2,,1300,
on,AMD Ryzen™ 5 4680U Microsoft Surface® Edition,6,12,7,2.2,4,0,384,3,8,,3,15,105,4267,2,,1500,
on,AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,4,4,8,3.6,4,0,384,2,4,, 3.0 x8,65,95,2933,2,,1250,
on,AMD Ryzen™ 7 3780U Microsoft Surface® Edition,4,8,11,2.3,4,0,384,2,4,,3,15,105,2400,2,,1400,
