-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Athlon™ Silver 3050GE (OEM Only),2,4,3,3.4,3.4,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,AMD 3015e,2,4,3,1.2,2.3,-1,-1,1,4,-1,3,6,105,1600,1,-1,600,-1
on,AMD 3015Ce,2,4,3,1.2,2.3,-1,-1,1,4,-1,3,6,105,1600,1,-1,600,-1
on,AMD Ryzen™ Threadripper™ 2990WX,32,64,-1,3,4.2,-1,3072,16,64,-1,3,250,68,2933,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 2970WX,24,48,-1,3,4.2,-1,2304,12,64,-1,3,250,68,2933,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 2950X,16,32,-1,3.5,4.4,-1,1536,8,32,-1,3,180,68,2933,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 2920X,12,24,-1,3.5,4.3,-1,1152,6,32,-1,3,180,68,2933,4,-1,-1,-1
on,AMD Ryzen™ 7 2700X,8,16,-1,3.7,4.3,-1,768,4,16,-1,3,105,85,2933,2,-1,-1,-1
on,AMD Ryzen™ 7 2700,8,16,-1,3.2,4.1,-1,768,4,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 7 2700E Processor,8,16,-1,2.8,4,-1,768,4,16,-1,3,45,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 2600X,6,12,-1,3.6,4.2,-1,576,3,16,-1,3,95,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2600,6,12,-1,3.4,3.9,-1,576,3,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2600E,6,12,-1,3.1,4,-1,578,3,16,-1,3,45,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 2500X,4,8,-1,3.6,4,-1,384,2,8,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.6,3.9,-1,384,2,4,-1, 3.0 x8,65,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,4,8,11,3.2,3.8,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 3 2300X,4,4,-1,3.5,4,-1,384,2,8,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,4,4,8,3.5,3.7,-1,384,2,4,-1, 3.0 x8,65,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 9 PRO 6950H,8,16,12,3.3,4.9,-1,384,4,16,-1,4,45,95,-1,2,-1,2400,-1
on,AMD Ryzen™ 9 PRO 6950HS,8,16,12,3.3,4.9,-1,512,4,16,-1,4,35,94.99,-1,2,-1,2400,-1
on,AMD Ryzen™ 7 PRO 6860Z,8,16,12,2.7,4.75,-1,512,4,16,-1,4,28,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,4,4,8,3.2,3.6,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 7 2800H,4,8,11,3.3,3.8,-1,192,2,4,-1,3,45,95,3200,2,-1,1300,-1
on,AMD Ryzen™ 5 2600H,4,8,8,3.2,3.6,-1,192,2,4,-1,3,45,95,3200,2,-1,1100,-1
on,AMD Ryzen™ 7 PRO 6850H,8,16,12,3.2,4.7,-1,512,4,16,-1,4,45,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 7 2700U,4,8,10,2.2,3.8,-1,384,2,4,-1,3,15,95,2400,2,-1,1300,-1
on,AMD Ryzen™ 7 PRO 6850HS,8,16,12,3.2,4.7,-1,512,4,16,-1,4,35,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 5 2500U,4,8,8,2,3.6,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 3 2300U,4,4,6,2,3.4,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 7 PRO 6850U,8,16,12,2.7,4.7,-1,512,4,16,-1,4,-1,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 3 2200U,2,4,3,2.5,3.4,-1,384,1,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 5 PRO 6650H,6,12,6,3.3,4.5,-1,384,3,16,-1,4,45,95,-1,2,-1,1900,-1
on,AMD Ryzen™ Threadripper™ 1950X,16,32,-1,3.4,4,-1,1536,8,32,-1,3,180,68,2667,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 1920X,12,24,-1,3.5,4,-1,1152,6,32,-1,3,180,68,2667,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 1900X,8,16,-1,3.8,4,-1,768,4,16,-1,3,180,68,2667,4,-1,-1,-1
